Order_ID,Carrier,Promised_Delivery_Days,Actual_Delivery_Days,Delivery_Status,Quality_Issue,Customer_Rating,Delivery_Cost_INR
ORD000001,SpeedyLogistics,1,2,Slightly-Delayed,Perfect,3,387.86
ORD000002,SpeedyLogistics,2,3,Slightly-Delayed,Minor_Damage,1,430.19
ORD000003,SpeedyLogistics,10,15,Severely-Delayed,Minor_Damage,3,1039.19
ORD000004,QuickShip,5,5,On-Time,Perfect,5,599.01
ORD000005,SpeedyLogistics,4,5,Slightly-Delayed,Perfect,3,537.9
ORD000006,GlobalTransit,1,2,Slightly-Delayed,Perfect,4,378.99
ORD000007,QuickShip,3,3,On-Time,Perfect,4,439.72
ORD000008,GlobalTransit,5,10,Severely-Delayed,Perfect,2,836.35
ORD000009,SpeedyLogistics,2,2,On-Time,Perfect,5,414.8
ORD000010,GlobalTransit,4,9,Severely-Delayed,Minor_Damage,3,891.65
ORD000011,EcoDeliver,3,4,Slightly-Delayed,Perfect,3,319.8
ORD000012,ReliableExpress,3,3,On-Time,Perfect,5,583.33
ORD000013,QuickShip,3,3,On-Time,Perfect,4,587.57
ORD000014,SpeedyLogistics,2,2,On-Time,Perfect,5,313.96
ORD000015,EcoDeliver,3,3,On-Time,Perfect,5,435.14
ORD000016,ReliableExpress,3,3,On-Time,Perfect,5,425.42
ORD000017,GlobalTransit,5,5,On-Time,Perfect,4,437.4
ORD000018,EcoDeliver,7,8,Slightly-Delayed,Perfect,3,658.72
ORD000019,GlobalTransit,5,6,Slightly-Delayed,Wrong_Item,1,417.76
ORD000020,QuickShip,2,2,On-Time,Perfect,5,311.13
ORD000021,QuickShip,2,2,On-Time,Perfect,5,526.67
ORD000022,SpeedyLogistics,3,3,On-Time,Perfect,5,363.82
ORD000023,EcoDeliver,1,3,Slightly-Delayed,Perfect,4,577.28
ORD000024,ReliableExpress,5,6,Slightly-Delayed,Perfect,3,612.64
ORD000025,QuickShip,10,10,On-Time,Perfect,5,951.95
ORD000026,SpeedyLogistics,5,6,Slightly-Delayed,Perfect,3,629.91
ORD000027,SpeedyLogistics,5,5,On-Time,Perfect,5,361.87
ORD000028,GlobalTransit,5,5,On-Time,Perfect,5,620.17
ORD000029,ReliableExpress,3,3,On-Time,Perfect,5,267.94
ORD000030,GlobalTransit,5,5,On-Time,Perfect,5,530.24
ORD000031,QuickShip,7,8,Slightly-Delayed,Perfect,3,871.77
ORD000032,ReliableExpress,3,5,Slightly-Delayed,Perfect,3,416.08
ORD000033,SpeedyLogistics,5,5,On-Time,Perfect,5,505.95
ORD000034,ReliableExpress,7,8,Slightly-Delayed,Perfect,3,791.94
ORD000035,SpeedyLogistics,2,3,Slightly-Delayed,Perfect,3,602.9
ORD000036,EcoDeliver,2,3,Slightly-Delayed,Perfect,3,518.38
ORD000037,QuickShip,1,1,On-Time,Minor_Damage,4,253.27
ORD000038,SpeedyLogistics,1,6,Severely-Delayed,Perfect,1,669.84
ORD000039,GlobalTransit,2,3,Slightly-Delayed,Perfect,3,368.69
ORD000040,GlobalTransit,5,5,On-Time,Perfect,5,637.37
ORD000041,ReliableExpress,1,2,Slightly-Delayed,Perfect,3,581.61
ORD000042,ReliableExpress,4,4,On-Time,Perfect,4,588.56
ORD000043,QuickShip,10,12,Slightly-Delayed,Wrong_Item,1,1045.15
ORD000044,SpeedyLogistics,1,1,On-Time,Perfect,5,150.84
