Vehicle_ID,Vehicle_Type,Capacity_KG,Fuel_Efficiency_KM_per_L,Current_Location,Status,Age_Years,CO2_Emissions_Kg_per_KM
VEH0001,Refrigerated,1531.01,5.81,Hyderabad,Available,7.64166339273196,0.465
VEH0002,Small_Van,632.66,10.41,Chennai,In_Transit,1.474560292009559,0.259
VEH0003,Large_Truck,8903.66,6.13,Bangalore,Available,7.496936469272541,0.441
VEH0004,Refrigerated,2545.81,7.14,Bangalore,In_Transit,1.4152287074138648,0.378
VEH0005,Small_Van,925.24,9.38,Delhi,In_Transit,1.9643045221736903,0.288
VEH0006,Medium_Truck,2671.22,8.94,Bangalore,Available,6.235393561072094,0.302
VEH0007,Large_Truck,7176.62,5.65,Mumbai,Available,1.7227650269869326,0.478
VEH0008,Refrigerated,2601.67,6.15,Bangalore,In_Transit,1.4328712343099324,0.439
VEH0009,Refrigerated,2423.87,7.53,Pune,Available,5.786532575325363,0.359
VEH0010,Refrigerated,2319.65,7.9,Bangalore,Available,2.8162581800550566,0.342
VEH0011,Medium_Truck,2236.98,8.88,Hyderabad,Available,3.474152614924724,0.304
VEH0012,Small_Van,932.65,8.63,Chennai,In_Transit,2.8741224895090247,0.313
VEH0013,Refrigerated,2252.27,5.21,Hyderabad,In_Transit,4.788094873578115,0.518
VEH0014,Refrigerated,2859.13,5.04,Ahmedabad,Available,1.9018583045634623,0.536
VEH0015,Small_Van,695.34,8.77,Chennai,In_Transit,3.005374742515769,0.308
VEH0016,Large_Truck,7022.64,4.21,Bangalore,Available,1.1293965186607207,0.642
VEH0017,Medium_Truck,3355.08,6.22,Hyderabad,Available,7.583364370207276,0.434
VEH0018,Large_Truck,8357.4,5.9,Hyderabad,In_Transit,6.389516086370113,0.458
VEH0019,Large_Truck,9951.81,4.98,Pune,Available,7.852765557066388,0.543
VEH0020,Small_Van,759.35,8.72,Hyderabad,Available,7.842181302808281,0.31
VEH0021,Large_Truck,5949.08,5.75,Mumbai,Available,3.4820928391465293,0.47
VEH0022,Small_Van,602.67,9.93,Ahmedabad,In_Transit,4.622047013980675,0.272
VEH0023,Large_Truck,5719.71,5.79,Bangalore,Available,7.635674156341745,0.467
VEH0024,Small_Van,546.03,10.4,Chennai,Available,4.650342620950306,0.26
VEH0025,Large_Truck,8518.96,5.12,Bangalore,In_Transit,5.799724024090322,0.527
VEH0026,Large_Truck,6564.54,4.81,Chennai,Available,1.8056125648357195,0.561
VEH0027,Small_Van,724.54,10.45,Bangalore,In_Transit,7.122453686223298,0.258
VEH0028,Small_Van,793.79,10.8,Mumbai,Available,5.206149288382095,0.25
VEH0029,Medium_Truck,3872.53,7.63,Bangalore,Maintenance,3.4927648823182604,0.354
VEH0030,Refrigerated,1782.81,7.02,Ahmedabad,In_Transit,4.235302947926517,0.385
VEH0031,Large_Truck,6635.22,6.67,Kolkata,Maintenance,3.755157295315691,0.405
VEH0032,Small_Van,717.2,10.89,Delhi,Maintenance,2.2187896341062157,0.248
VEH0033,Medium_Truck,3341.35,8.1,Kolkata,Available,1.994527523501006,0.333
VEH0034,Refrigerated,2608.08,5.04,Pune,Available,0.6185989717472156,0.536
VEH0035,Small_Van,955.58,9.42,Delhi,In_Transit,5.050487935380773,0.287
VEH0036,Large_Truck,5405.75,6.85,Delhi,In_Transit,3.3746317973165105,0.394
VEH0037,Medium_Truck,2566.61,8.36,Bangalore,In_Transit,6.071611202509542,0.323
VEH0038,Large_Truck,7607.25,4.21,Delhi,Available,2.046630538131049,0.642
VEH0039,Refrigerated,2000.41,7.6,Mumbai,In_Transit,5.498472856451268,0.355
VEH0040,Refrigerated,2181.52,6.89,Bangalore,In_Transit,6.752323506079688,0.392
VEH0041,Medium_Truck,3070.05,6.43,Pune,Available,6.685574280102557,0.42
VEH0042,Small_Van,721.96,8.09,Chennai,Available,3.557246434847418,0.334
VEH0043,Medium_Truck,2056.62,6.63,Mumbai,In_Transit,3.5725329003199446,0.407
VEH0044,Large_Truck,6301.18,4.48,Ahmedabad,Available,6.3989178679313525,0.603
VEH0045,Express_Bike,39.87,30.81,Pune,In_Transit,1.32823897558327,0.088
VEH0046,Small_Van,654.9,9.0,Ahmedabad,Available,2.4116168668616176,0.3
VEH0047,Large_Truck,5383.18,6.62,Kolkata,Available,7.353413329049445,0.408
VEH0048,Express_Bike,23.07,25.32,Delhi,Available,2.2383769271701253,0.107
VEH0049,Medium_Truck,3807.12,6.23,Kolkata,Available,1.953973009526695,0.433
VEH0050,Refrigerated,2515.41,7.51,Pune,Available,3.6088704861259417,0.359
